Keyword,Score,Chapter,Author
bersedekah,0.2629,63,Google Translate
waspadalah,0.237,63,Google Translate
teriakan,0.2278,63,Google Translate
perisai,0.2144,63,Google Translate
allah,1.0624,64,Google Translate
mukmin,0.9723999999999999,64,Google Translate
tuhan,0.9359999999999999,64,Google Translate
pengampun,0.8712,64,Google Translate
bertawakal,0.7814,64,Google Translate
sesungguhnya,0.7237,64,Google Translate
cobaan,0.6818,64,Google Translate
penyayang,0.6628000000000001,64,Google Translate
bertasbih,0.5625,64,Google Translate
mahakuasa,0.4989,64,Google Translate
rujuklah,0.5861,65,Google Translate
menceraikan,0.582,65,Google Translate
lepaskanlah,0.4451,65,Google Translate
istri,0.4322,65,Google Translate
hamil,0.4056,65,Google Translate
persaksikanlah,0.3452,65,Google Translate
perbuatannya,0.3448,65,Google Translate
musyawarahkanlah,0.3408,65,Google Translate
menyusukan,0.3142,65,Google Translate
keluarkan,0.3073,65,Google Translate
mengharamkan,0.632,66,Google Translate
dihalalkan,0.5794,66,Google Translate
menceraikan,0.517,66,Google Translate
diperintahkan,0.5056,66,Google Translate
aisyah,0.5045,66,Google Translate
berpuasa,0.4487,66,Google Translate
imran,0.4317,66,Google Translate
penolongnya,0.3662,66,Google Translate
memberitahukan,0.363,66,Google Translate
zalim,0.3358,66,Google Translate
