Chapter,Verse,Google Translate,Kemenag,King Fahd,Fahd - Google,Kemenag - Google,Fahd - Kemenag,total,min sum
57,14,"Mereka berseru kepada orang-orang kafir, “Bukankah kami dahulu bersama kamu?” Mereka menjawab, “Benar, tetapi kamu telah mencobai dirimu sendiri, menanti-nantikan, dan ragu-ragu, dan angan-anganmu itu telah menipu kamu, hingga datanglah keputusan Allah, lalu penipu itu menipu kamu tentang Allah.”","Orang-orang munafik memanggil orang-orang mukmin, ""Bukankah kami dahulu bersama kamu?"" Mereka menjawab, ""Benar, tetapi kamu mencelakakan dirimu sendiri, dan kamu hanya menunggu, meragukan (janji Allah) dan ditipu oleh angan-angan kosong sampai datang ketetapan Allah; dan penipu (setan) datang memperdaya kamu tentang Allah.","Orang-orang munafik itu memanggil mereka (orang-orang mukmin) seraya berkata, ""Bukankah kami dahulu bersama-sama dengan kamu?"" Mereka menjawab, ""Benar, tetapi kamu mencelakakan dirimu sendiri dan menunggu (kehancuran kami), dan kamu ragu-ragu serta ditipu oleh angan-angan kosong sehingga datanglah ketetapan Allah; dan kamu telah ditipu terhadap Allah oleh (setan) yang amat penipu.",0.7552879,0.7486117,0.93908787,1.5038996,1.5038996
58,10," Sesungguhnya percakapan diam-diam itu dari setan, agar ia menyusahkan orang-orang yang beriman, dan ia tidak akan membahayakan mereka sedikit pun kecuali dengan izin Allah. Dan hendaklah orang-orang yang beriman bertawakal kepada Allah.","Sesungguhnya pembicaraan rahasia itu termasuk (perbuatan) setan, agar orang-orang yang beriman itu bersedih hati, sedang (pembicaraan) itu tidaklah memberi bencana sedikit pun kepada mereka, kecuali dengan izin Allah. Dan kepada Allah hendaknya orang-orang yang beriman bertawakal.","Sesungguhnya pembicaraan rahasia itu adalah dari setan, supaya orang-orang yang beriman itu berduka cita, sedang pembicaraan itu tiadalah memberi mudarat sedikit pun kepada mereka, kecuali dengan izin Allah dan kepada Allah-lah hendaknya orang-orang yang beriman bertawakal.",0.6769451,0.6856599,0.9417056,1.3626049999999998,1.3626049999999998
59,8,"Bagi orang-orang muhajirin fakir yang telah diusir dari rumah dan harta mereka, karena mereka mencari karunia Allah, keridhaan-Nya, dan karena mereka mendukung Allah dan Rasul-Nya. Mereka itulah orang-orang yang benar.",(Harta rampasan itu juga) untuk orang-orang fakir yang berhijrah yang terusir dari kampung halamannya dan meninggalkan harta bendanya demi mencari karunia dari Allah dan keridaan(-Nya) dan (demi) menolong (agama) Allah dan Rasul-Nya. Mereka itulah orang-orang yang benar.,(Juga) bagi para fukara yang berhijrah yang diusir dari kampung halaman dan dari harta benda mereka (karena) mencari karunia dari Allah dan keridaan-Nya dan mereka menolong Allah dan rasul-Nya.  Mereka itulah orang-orang yang benar.,0.542545,0.834056,0.6021458,1.376601,1.376601
60,6," Sungguh, telah ada bagimu pada mereka suri teladan yang baik bagi siapa saja yang mengharap rahmat Allah dan hari akhir. Barangsiapa yang berpaling, maka sesungguhnya Allah Maha Kaya lagi Maha Terpuji.","Sungguh, pada mereka itu (Ibrahim dan umatnya) terdapat suri teladan yang baik bagimu; (yaitu) bagi orang yang mengharap (pahala) Allah dan (keselamatan pada) hari kemudian, dan barangsiapa berpaling, maka sesungguhnya Allah, Dialah Yang Mahakaya, Maha Terpuji.","Sesungguhnya pada mereka itu (Ibrāhīm dan umatnya) ada teladan yang baik bagimu; (yaitu) bagi orang-orang yang mengharap (pahala) Allah dan (keselamatan pada) hari kemudian.  Dan barang siapa yang berpaling, maka sesungguhnya Allah Dia-lah yang Maha kaya lagi Maha Terpuji.",0.78537345,0.6673583,0.90969396,1.4527317499999999,1.4527317499999999
61,10," Hai orang-orang yang beriman, maukah kamu Aku tunjukkan suatu jual beli yang dapat menyelamatkan kamu dari azab yang pedih?",Wahai orang-orang yang beriman! Maukah kamu Aku tunjukkan suatu perdagangan yang dapat menyelamatkan kamu dari azab yang pedih?,"Hai orang-orang yang beriman, sukakah kamu aku tunjukkan suatu perniagaan yang dapat menyelamatkanmu dari azab yang pedih?",0.75786316,0.7706021,0.68383336,1.52846526,1.52846526
62,3, Dan belumlah ada yang menyusul mereka. Dan Dia Maha Perkasa lagi Maha Bijaksana.,"dan (juga) kepada kaum yang lain dari mereka yang belum bertemu dengan mereka. Dan Dialah Yang Mahaperkasa, Mahabijaksana.",dan (juga) kepada kaum yang lain dari mereka yang belum berhubungan dengan mereka.  Dan Dia-lah Yang Maha Perkasa lagi Maha Bijaksana.,0.7801051,0.68620974,0.8490493,1.46631484,1.46631484
63,11, Dan Allah tidak akan menunda suatu jiwa ketika telah tiba ajalnya. Dan Allah Maha Mengetahui apa yang kamu kerjakan.,Dan Allah tidak akan menunda (kematian) seseorang apabila waktu kematiannya telah datang. Dan Allah Mahateliti terhadap apa yang kamu kerjakan.,Dan Allah sekali-kali tidak akan menangguhkan (kematian) seseorang apabila datang waktu kematiannya.  Dan Allah Maha Mengetahui apa yang kamu kerjakan.,0.6563927,0.7243382,0.91179,1.3807309,1.3807309
64,12," Dan taatilah Allah dan taatilah Rasul. Tetapi jika kamu berpaling, maka sesungguhnya atas Rasul Kami hanyalah pemberitaan yang nyata.",Dan taatlah kepada Allah dan taatlah kepada Rasul. Jika kamu berpaling maka sesungguhnya kewajiban Rasul Kami hanyalah menyampaikan (amanah Allah) dengan terang.,"Dan taatlah kepada Allah dan taatlah kepada rasul-Nya; jika kamu berpaling, sesungguhnya kewajiban rasul Kami hanyalah menyampaikan (amanat Allah) dengan terang.",0.78131294,0.7814937,0.97870713,1.5628066399999998,1.5628066399999998
65,2,"Maka apabila telah sampai masanya, peliharalah mereka dengan cara yang ma'ruf, atau pisahkanlah mereka dengan cara yang ma'ruf. Dan persaksikanlah dua orang laki-laki yang adil dari antara kamu, dan tegakkanlah kesaksian itu karena Allah. Yang demikian itu adalah peringatan bagi siapa pun yang beriman kepada Allah dan Hari Akhir. Dan siapa pun yang bertakwa kepada Allah, niscaya Dia akan memberikan jalan keluar baginya.","Maka apabila mereka telah mendekati akhir idahnya, maka rujuklah (kembali kepada) mereka dengan baik atau lepaskanlah mereka dengan baik dan persaksikanlah dengan dua orang saksi yang adil di antara kamu dan hendaklah kamu tegakkan kesaksian itu karena Allah. Demikianlah pengajaran itu diberikan bagi orang yang beriman kepada Allah dan hari akhirat. Barangsiapa bertakwa kepada Allah niscaya Dia akan membukakan jalan keluar baginya,","Apabila mereka telah mendekati akhir idahnya, maka rujukilah mereka dengan baik atau lepaskanlah mereka dengan baik dan persaksikanlah dengan dua orang saksi yang adil di antara kamu dan hendaklah kamu tegakkan kesaksian itu karena Allah.  Demikianlah diberi pengajaran dengan itu orang yang beriman kepada Allah dan hari akhirat.  Barang siapa bertakwa kepada Allah, niscaya Dia akan mengadakan baginya jalan keluar.",0.64199346,0.58838105,0.9486552,1.2303745099999999,1.2303745099999999
66,3," Dan ketika Nabi SAW menceritakan suatu pernyataan kepada salah seorang istrinya, dan ketika istrinya itu menceritakannya, lalu Allah memberitahukannya kepada beliau, beliau pun memberitahukannya sebagian dan mengabaikan sebagian lagi. Ketika Nabi SAW menceritakannya, istrinya bertanya, ""Siapa yang memberitahumu tentang ini?"" Beliau menjawab, ""Yang Maha Mengetahui lagi Maha Mengenal yang memberitahuku.""","Dan ingatlah ketika secara rahasia Nabi membicarakan suatu peristiwa kepada salah seorang istrinya (Hafsah). Lalu dia menceritakan peristiwa itu (kepada Aisyah) dan Allah memberitahukan peristiwa itu kepadanya (Nabi), lalu (Nabi) memberitahukan (kepada Hafsah) sebagian dan menyembunyikan sebagian yang lain. Maka ketika dia (Nabi) memberitahukan pembicaraan itu kepadanya (Hafsah), dia bertanya, ""Siapa yang telah memberitahukan hal ini kepadamu?"" Nabi menjawab, ""Yang memberitahukan kepadaku adalah Allah Yang Maha Mengetahui, Mahateliti.""","Dan ingatlah ketika nabi membicarakan secara rahasia kepada salah seorang dari istri-istrinya (ῌafṣah) suatu peristiwa.  Maka tatkala (ῌafṣah) menceritakan peristiwa itu (kepada ʻĀ`isyah) dan Allah memberitahukan hal itu (semua pembicaraan ῌafṣah dengan ʻĀ`isyah) kepada Muhammad, lalu Muhammad memberitahukan sebagian (yang diberitakan Allah kepadanya) dan menyembunyikan sebagian yang lain (kepada ῌafṣah).  Maka tatkala (Muhammad) memberitahukan pembicaraan (antara ῌafṣah dan ʻĀ`isyah), lalu ῌafṣah bertanya, ""Siapakah yang telah memberitahukan hal ini kepadamu?"" Nabi menjawab, ""Telah diberitahukan kepadaku oleh Allah yang Maha Mengetahui lagi Maha Mengenal"".",0.74217033,0.71028745,0.7709818,1.45245778,1.45245778
