nomor_ayat,google_translate
24,"Yang demikian itu adalah karena mereka berkata, “Neraka tidak akan menyentuh kami kecuali beberapa hari saja.” Dan apa yang selalu mereka ada-adakan itu telah menipu mereka dalam agama mereka."
25," Maka bagaimanakah apabila Kami kumpulkan mereka pada hari yang tidak ada keraguan padanya, dan telah dibalaskan kepada tiap-tiap jiwa apa yang telah dikerjakannya dengan sempurna, dan mereka sedikit pun tidak dianiaya?"
26," Katakanlah, ""Ya Allah, Pemilik Kerajaan, Engkau berikan kerajaan kepada siapa yang Engkau kehendaki dan Engkau cabut kerajaan dari siapa yang Engkau kehendaki. Engkau muliakan siapa yang Engkau kehendaki dan Engkau hinakan siapa yang Engkau kehendaki. Di tangan-Mu segala kebaikan. Sesungguhnya Engkau Maha Kuasa atas segala sesuatu."""
27,Engkau masukkan malam ke dalam siang dan masukkan siang ke dalam malam. Engkau keluarkan yang hidup dari yang mati dan keluarkan yang mati dari yang hidup. Dan Engkau memberi rezeki kepada siapa yang Engkau kehendaki tanpa perhitungan.
28," Janganlah orang-orang mukmin menjadikan orang-orang kafir sebagai wali, dengan meninggalkan orang-orang mukmin. Dan barangsiapa yang melakukan hal itu, maka ia tidak ada sedikit pun dosa bagi Allah, kecuali kamu takut kepada mereka karena takut. Dan Allah memperingatkan kamu tentang diri-Nya, dan kepada Allah-lah tempat kembali."
29,"Katakanlah, ""Jika kamu menyembunyikan apa yang ada dalam hatimu atau kamu melahirkannya, Allah mengetahuinya. Dan Dia mengetahui apa yang ada di langit dan apa yang ada di bumi. Dan Allah Maha Kuasa atas segala sesuatu."""
30," Pada hari ketika setiap jiwa mendapati kebaikan dan keburukan yang telah diperbuatnya, ia berharap agar antara keduanya ada jarak yang jauh. Dan Allah memperingatkan kamu tentang diri-Nya, dan Allah Maha Baik kepada hamba-hamba-Nya."
31," Katakanlah, ""Jika kamu mencintai Allah, ikutilah aku, niscaya Allah mengasihi dan mengampuni dosa-dosamu. Allah Maha Pengampun lagi Maha Penyayang."""
32,"Katakanlah, ""Taatilah Allah dan Rasul-Nya. Jika mereka berpaling, maka sesungguhnya Allah tidak menyukai orang-orang kafir."""
33," Sesungguhnya Allah telah memilih Adam, Nuh, keluarga Ibrahim dan keluarga Imran untuk seluruh alam."
34," Keturunan, sebagian dari mereka berasal dari sebagian yang lain. Dan Allah Maha Mendengar lagi Maha Mengetahui."
35," Ketika istri Imran berkata, ""Ya Tuhanku, aku telah bernazar kepada-Mu apa yang ada dalam rahimku, yang telah disucikan [untuk melayani-Mu], maka terimalah ini dariku. Sesungguhnya Engkau Maha Mendengar lagi Maha Mengetahui."""
36,"Dan ketika ia melahirkan, ia berkata, ""Ya Tuhanku, sesungguhnya aku telah melahirkan seorang anak perempuan. Dan Allah Maha Mengetahui apa yang dilahirkannya, dan laki-laki itu tidaklah seperti perempuan. Dan sesungguhnya aku telah menamainya Maryam, dan sesungguhnya aku berlindung kepadanya dan keturunannya dari setan yang terkutuk."""
37," Maka Tuhannya pun menerimanya dengan penuh kemurahan hati, menumbuhkannya dalam akhlak yang baik, dan menempatkannya dalam pemeliharaan Zakharia. Setiap kali Zakharia masuk menemuinya di tempat suci, ia mendapati rezeki bersamanya. Ia bertanya, ""Hai Maryam, dari mana kamu memperoleh rezeki ini?"" Maryam menjawab, ""Ini dari sisi Allah. Sesungguhnya Allah memberi rezeki kepada siapa yang Dia kehendaki tanpa perhitungan."""
38,"Maka Zakharia pun berdoa kepada Tuhannya, katanya, ""Ya Tuhanku, anugrahkanlah kepadaku dari sisi-Mu keturunan yang baik. Sesungguhnya Engkau Maha Mendengar doa."""
39," Maka para malaikat memanggilnya ketika ia sedang salat di Baitullah (Mekkah), ""Sesungguhnya Allah menggembirakan kamu dengan (berita) Yahya, dan membenarkan (kelahiran) seorang Nabi yang datang dari Allah, seorang pemimpin yang suci dan seorang nabi dari orang-orang yang saleh."""
40," Ia berkata, ""Ya Tuhanku, bagaimana aku akan memiliki anak, sedangkan usiaku telah lanjut dan istriku mandul?"" Ia berkata, ""Demikianlah Allah berbuat apa yang Dia kehendaki."""
41,"Ia berkata, ""Ya Tuhanku, berikanlah aku suatu tanda."" Ia berkata, ""Tanda bagimu adalah bahwa kamu tidak berbicara kepada manusia selama tiga hari kecuali dengan isyarat. Dan ingatlah Tuhanmu sebanyak-banyaknya dan bertasbihlah di waktu petang dan pagi."""
42," Dan ketika para malaikat berkata, “Hai Maryam, sesungguhnya Allah telah memilih kamu, menyucikan kamu dan melebihkan kamu atas wanita-wanita seluruh alam.”"
43," Hai Maryam, taatlah kepada Tuhanmu, dan sujudlah serta ruku'lah bersama orang-orang yang ruku'."
44,"Ini termasuk berita-berita gaib yang Kami wahyukan kepadamu, [wahai Muhammad]. Dan kamu tidak bersama mereka ketika mereka menorehkan pena mereka tentang siapa di antara mereka yang akan bertanggung jawab atas kematian Maryam. Dan kamu tidak bersama mereka ketika mereka berdebat."
45," Ketika para malaikat berkata, “Hai Maryam, sesungguhnya Allah menggembirakan kamu dengan seorang kalimat (yang lahir) daripada-Nya, namanya Al Masih, Isa putra Maryam, seorang terkemuka di dunia dan di akhirat dan termasuk orang-orang yang didekatkan kepada Allah.”"
46," Dan dia berbicara kepada manusia ketika masih buaian dan ketika sudah dewasa, dan dia termasuk orang-orang yang saleh."
47,"Ia berkata, ""Ya Tuhanku, bagaimana mungkin aku mempunyai anak, padahal tidak pernah ada seorang pun yang menyentuhku?"" Ia berkata, ""Demikianlah Allah menciptakan apa yang Dia kehendaki. Jika Dia berketetapan suatu perkara, Dia hanya berfirman, 'Jadilah!' Maka jadilah ia."""
48," Dan Dia akan mengajarkannya Kitab, hikmah, Taurat dan Injil."
49,"Dan seorang utusan kepada Bani Israil, [seraya berkata], “Sesungguhnya aku telah datang kepadamu dengan membawa suatu tanda dari Tuhanmu. Aku ciptakan untukmu dari tanah liat yang bentuknya seperti burung, lalu Aku tiup ke dalamnya, maka ia menjadi burung dengan izin Allah. Aku menyembuhkan orang buta dan orang kusta, dan Aku menghidupkan orang mati dengan izin Allah. Dan aku beritakan kepadamu apa yang [Al-Qur'an] katakan tentang Hari Kiamat. Kamu makan dan apa yang kamu simpan di rumahmu. Sesungguhnya pada yang demikian itu benar-benar terdapat tanda bagimu, jika kamu orang-orang yang beriman."
50,"Dan membenarkan apa yang sebelumku dari Taurat, dan menghalalkan bagimu sebagian dari apa yang diharamkan bagimu. Dan aku datang kepadamu dengan membawa suatu tanda dari Tuhanmu, maka bertakwalah kepada Allah dan taatilah aku."
51," Sesungguhnya Allah adalah Tuhanku dan Tuhanmu, maka sembahlah Dia. Ini adalah jalan yang lurus."
52," ۞ Dan ketika Yesus mengetahui kekafiran mereka, ia berkata, ""Siapakah yang akan menjadi penolongku di jalan Allah?"" Para pengikutnya berkata, ""Kami adalah penolong Allah. Kami telah beriman kepada Allah, dan bersaksi bahwa kami adalah orang-orang Muslim [yang berserah diri]."""
53,"Ya Tuhan kami, kami telah beriman kepada apa yang Engkau turunkan dan telah mengikuti Rasul, karena itu daftarkanlah kami di antara orang-orang yang menyaksikan."
54," Dan mereka berencana, dan Allah pun berencana. Dan Allah adalah sebaik-baik perencana."
55," Ketika Allah berfirman, ""Hai Isa, sesungguhnya Aku akan menerimamu dan mengangkatmu kepada-Ku, menyucikanmu dari orang-orang kafir, dan menjadikan orang-orang yang mengikutimu lebih tinggi derajatnya dari orang-orang kafir hingga Hari Kiamat. Kemudian kepada-Ku-lah tempat kembalimu, dan Aku akan mengadili di antara kamu tentang apa yang dahulu selalu kamu perselisihkan."""
56,"Adapun orang-orang yang kafir, maka akan Ku-siksa mereka dengan siksaan yang keras di dunia dan di akhirat, dan mereka sekali-kali tidak memperoleh penolong."
57," Adapun orang-orang yang beriman dan mengerjakan amal saleh, Allah akan memberi mereka pahala yang sempurna. Dan Allah tidak menyukai orang-orang yang zalim."
58, Demikianlah Kami bacakan kepadamu sebagian ayat-ayat dan zikir yang bijaksana.
59," Sesungguhnya, perumpamaan Yesus di hadapan Allah adalah seperti perumpamaan Adam. Allah menciptakannya dari debu, lalu berfirman kepadanya, ""Jadilah,"" maka jadilah ia."
60," Kebenaran itu datangnya dari Tuhanmu, karena itu janganlah kamu termasuk orang-orang yang ragu."
61,"Maka barangsiapa yang membantah kamu tentang (perbuatan) itu sesudah datang kepadamu ilmu pengetahuan, maka katakanlah: ""Marilah kita panggil anak-anak lelaki kami dan anak-anak lelaki kamu, istri-istri kami dan istri-istri kamu, diri kita sendiri dan diri kita sendiri, kemudian marilah kita berdoa dengan sungguh-sungguh dan kutuklah Allah atas orang-orang yang berdusta."""
62," Sesungguhnya, inilah kisah yang benar. Dan tidak ada Tuhan selain Allah, dan sesungguhnya, Allah, Dialah Yang Maha Perkasa lagi Maha Bijaksana."
63," Jika mereka berpaling, maka sesungguhnya Allah Maha Mengetahui tentang orang-orang yang membuat kerusakan."
64,"Katakanlah, ""Hai Ahli Kitab, marilah kita kepada suatu kalimat yang adil antara kami dan kamu, yaitu bahwa kita tidak akan menyembah selain Allah, tidak mempersekutukan-Nya dengan apa pun, dan tidak menjadikan sebagian kita sebagai tuhan selain Allah."" Jika mereka berpaling, maka katakanlah, ""Saksikanlah bahwa kami adalah orang-orang yang berserah diri."""
65," Wahai Ahli Kitab, mengapa kalian berdebat tentang Abraham, padahal Taurat dan Injil baru diturunkan setelahnya? Maka tidakkah kalian mau berpikir?"
66,"Ini dia! Kalian berdebat tentang apa yang kalian ketahui. Lalu mengapa kalian berdebat tentang apa yang tidak kalian ketahui? Padahal Allah mengetahui, sedangkan kalian tidak mengetahui."
67," Abraham bukanlah seorang Yahudi atau Kristen, tetapi dia adalah seorang yang condong kepada kebenaran, seorang Muslim [yang berserah diri kepada Tuhan]. Dan dia bukanlah termasuk orang-orang musyrik."
68," Sesungguhnya, orang-orang yang paling berhak atas Ibrahim adalah mereka yang mengikutinya, Nabi ini, dan orang-orang yang beriman. Dan Allah adalah penolong orang-orang yang beriman."
69,"Segolongan dari Ahli Kitab ingin menyesatkan kamu, padahal mereka hanyalah menyesatkan diri mereka sendiri, sedang mereka tidak menyadarinya."
70," Hai Ahli Kitab, mengapa kamu kafir kepada ayat-ayat Allah, padahal kamu adalah orang-orang yang menyaksikan?"
71," Hai Ahli Kitab, mengapa kamu mencampuradukkan yang hak dengan yang bathil dan menyembunyikan yang hak, padahal kamu mengetahuinya?"
72," Dan sebagian dari Ahli Kitab berkata, ""Percayalah kepada apa yang diturunkan kepada orang-orang yang beriman di awal hari, dan kafirlah kamu pada akhirnya, mudah-mudahan mereka kembali."""
73,"Dan janganlah kamu beriman kecuali kepada orang yang mengikuti agamamu. Katakanlah, ""Sesungguhnya petunjuk itu adalah petunjuk Allah, yaitu agar setiap orang diberi seperti apa yang diberikan kepadamu, atau agar mereka berdebat denganmu di hadapan Tuhanmu."" Katakanlah, ""Sesungguhnya karunia itu di tangan Allah. Dia memberikannya kepada siapa yang Dia kehendaki. Dan Allah Maha Luas (karunia-Nya) lagi Maha Mengetahui."""
74, Dia melimpahkan rahmat-Nya kepada siapa yang Dia kehendaki. Dan Allah Maha Besar karunia-Nya.
75,"۞ Dan di antara Ahli Kitab ada orang yang jika kamu mempercayakan kepadanya sejumlah besar harta, niscaya ia akan mengembalikannya kepadamu. Dan di antara mereka ada orang yang jika kamu mempercayakan kepadanya satu dinar, niscaya ia tidak akan mengembalikannya kepadamu, kecuali selama kamu masih memegang tanggung jawab atasnya. Yang demikian itu karena mereka berkata, ""Tidak ada dosa bagi kami terhadap orang-orang yang buta huruf,"" dan mereka berkata dusta terhadap Allah, padahal mereka mengetahuinya."
76," Ya, barangsiapa yang menepati janjinya dan bertakwa, maka sungguh, Allah menyukai orang-orang yang bertakwa."
77,"Sesungguhnya orang-orang yang menukar perjanjian Allah dan sumpah mereka dengan harga yang sedikit, mereka itu tidak mendapat bagian apa pun di akhirat. Allah tidak akan berbicara dengan mereka dan tidak akan melihat kepada mereka pada hari kiamat dan tidak (pula) menyucikan mereka. Dan bagi mereka azab yang pedih."
78," Dan sesungguhnya di antara mereka ada segolongan yang memutarbalikkan Kitab Suci dengan lidah mereka, agar kamu mengira (Al-Qur'an) itu sebagian dari Kitab Suci, padahal (Al-Qur'an itu) bukan dari Kitab Suci. Dan mereka berkata, ""Ini dari Allah,"" padahal (Al-Qur'an itu) bukan dari Allah. Dan mereka mengatakan dusta terhadap Allah, padahal mereka mengetahuinya."
79,"Bukanlah bagi manusia bahwa Allah memberikan kepadanya Kitab Suci, hikmah dan kenabian, lalu ia berkata kepada manusia: ""Jadilah hamba-Ku, bukan Allah!"", tetapi: ""Jadilah kamu orang-orang yang saleh, karena kamu telah diajari Kitab Suci dan karena kamu telah mempelajarinya."""
80, Dan Dia tidak memerintahkan kalian untuk menjadikan para malaikat dan para nabi sebagai tuhan. Apakah Dia akan memerintahkan kalian untuk kafir setelah kalian menjadi Muslim?
81,"Dan (ingatlah) ketika Allah mengambil perjanjian dari para nabi, “Apa saja yang telah Aku berikan kepadamu, yaitu Kitab Suci dan hikmah, lalu datang kepadamu seorang Rasul yang membenarkan apa yang ada padamu, maka hendaklah kamu beriman kepadanya dan mendukungnya.” Allah berfirman, “Apakah kamu telah mengakui dan mengambil atas dirimu perjanjian-Ku?” Mereka menjawab, “Kami telah mengakuinya.” Allah berfirman, “Maka, jadikanlah saksi, dan Aku beserta kamu termasuk orang-orang yang menjadi saksi.”"
82," Barangsiapa yang berpaling sesudah itu, maka mereka itulah orang-orang yang fasik."
83," Apakah mereka mencari agama yang lain selain agama Allah, padahal kepada-Nya-lah berserah diri semua yang di langit dan di bumi, baik dengan suka hati maupun dengan paksa, dan hanya kepada-Nya-lah mereka dikembalikan?"
84,"Katakanlah, ""Kami beriman kepada Allah, kitab-kitab yang diwahyukan kepada kami, kitab-kitab yang diwahyukan kepada Ibrahim, Ismail, Ishak, Yakub, dan suku-suku lainnya, dan kitab-kitab yang diberikan kepada Musa, Isa, dan para nabi dari Tuhan mereka. Kami tidak membeda-bedakan seorang pun di antara mereka, dan kami adalah orang-orang yang berserah diri kepada-Nya."""
85," Dan barangsiapa yang menghendaki selain Islam sebagai agama, maka sekali-kali tidaklah akan diterima daripadanya, dan dia di akhirat termasuk orang-orang yang rugi."
86,"Bagaimana Allah dapat memberi petunjuk kepada kaum yang kafir setelah mereka beriman, dan telah bersaksi bahwa Rasulullah itu benar dan telah datang kepada mereka bukti-bukti yang nyata? Dan Allah tidak memberi petunjuk kepada kaum yang zalim."
87," Balasan bagi mereka ialah laknat Allah, para malaikat dan manusia semuanya."
88, Mereka akan kekal di dalamnya. Hukuman mereka tidak akan diringankan dan mereka tidak akan diberi tangguh.
89," Kecuali orang-orang yang bertaubat sesudah itu dan memperbaiki diri, maka sesungguhnya Allah Maha Pengampun lagi Maha Penyayang."
90,"Sesungguhnya orang-orang yang kafir setelah mereka beriman, kemudian mereka bertambah kafir, maka tobat mereka tidak akan diterima. Dan mereka itulah orang-orang yang sesat."
91," Sesungguhnya orang-orang kafir yang mati dalam keadaan kafir, tidak akan diterima dari salah seorang di antara mereka sebidang tanah yang penuh emas, sekalipun ia menebusnya. Mereka itu akan mendapat azab yang pedih, dan mereka tidak akan memperoleh penolong."
92," Kamu tidak akan pernah mencapai kebajikan sampai kamu menafkahkan sebagian harta yang kamu cintai. Dan apa pun yang kamu nafkahkan, sesungguhnya Allah Maha Mengetahui."
93,"۞ Semua makanan halal bagi Bani Israil, kecuali makanan yang telah diharamkan Israil bagi dirinya sendiri sebelum Taurat diturunkan. Katakanlah, ""Bawalah Taurat itu dan bacalah, jika kamu orang-orang yang benar."""
94," Maka barangsiapa yang mengada-adakan kebohongan terhadap Allah sesudah itu, maka mereka itulah orang-orang yang zalim."
95," Katakanlah, “Allah telah berkata benar. Maka ikutilah agama Ibrahim, orang yang lurus. Dan dia bukanlah termasuk orang-orang musyrik.”"
96," Sesungguhnya rumah (ibadah) yang pertama kali didirikan bagi manusia ialah rumah (ibadah) Bakkah, yang diberkahi dan menjadi petunjuk bagi seluruh alam."
97,"Di dalamnya terdapat tanda-tanda yang nyata, seperti tempat berdirinya Ibrahim. Dan barangsiapa yang memasukinya, ia akan aman. Dan haji ke Baitullah adalah kewajiban manusia kepada Allah, yaitu orang-orang yang mampu membiayainya. Dan barangsiapa yang kafir, maka sesungguhnya Allah Maha Kaya dari kebutuhan semesta alam."
98," Katakanlah: ""Hai Ahli Kitab, mengapa kamu kafir kepada ayat-ayat Allah, padahal Allah adalah menyaksikan apa yang kamu kerjakan?"""
99," Katakanlah, ""Hai Ahli Kitab, mengapa kamu menghalangi orang-orang yang beriman dari jalan Allah, dengan maksud hendak menjadikannya bengkok, padahal kamu menjadi saksi? Dan Allah sekali-kali tidak lengah dari apa yang kamu kerjakan."""
100,"Hai orang-orang yang beriman, jika kamu menaati sebagian dari orang-orang yang diberi Kitab, niscaya mereka akan mengembalikan kamu kepada kekafiran setelah kamu beriman."
101," Bagaimana mungkin kamu kafir, padahal ayat-ayat Allah dibacakan kepadamu, dan di tengah-tengah kamu ada Rasul-Nya? Dan barangsiapa yang berpegang teguh kepada Allah, sungguh, ia telah diberi petunjuk ke jalan yang lurus."
102," Hai orang-orang yang beriman, bertakwalah kepada Allah sebagaimana seharusnya bertakwa kepada-Nya, dan janganlah kamu mati melainkan dalam keadaan muslim."
103,"Dan berpegang teguhlah kepada tali Allah bersama-sama, dan janganlah kamu bercerai-berai. Dan ingatlah nikmat Allah kepadamu, ketika kamu dahulu bermusuhan, lalu Dia mempersatukan hatimu, sehingga dengan nikmat-Nya kamu menjadi bersaudara. Dan kamu berada di tepi jurang neraka, lalu Dia menyelamatkan kamu darinya. Demikianlah Allah menjelaskan ayat-ayat-Nya kepadamu, agar kamu mendapat petunjuk."
104," Dan hendaklah ada di antara kamu segolongan yang mengajak kepada yang ma'ruf, menyuruh kepada yang makruf, dan mencegah dari yang munkar. Mereka itulah orang-orang yang beruntung."
105,Dan janganlah kamu seperti orang-orang yang terpecah belah dan berselisih setelah datang kepada mereka bukti-bukti yang jelas. Dan mereka itu akan mendapat azab yang besar.
106," Hari ketika sebagian wajah menjadi putih dan sebagian lagi menjadi hitam. Adapun orang-orang yang wajahnya menjadi hitam, akan dikatakan, ""Apakah kamu kafir setelah beriman? Maka rasakanlah azab disebabkan apa yang dahulu kamu kafir."""
107," Adapun orang-orang yang putih mukanya, maka mereka itu berada dalam rahmat Allah, mereka kekal di dalamnya."
108, Inilah ayat-ayat Allah yang Kami bacakan kepadamu dengan sebenarnya. Dan Allah tidak menghendaki kezaliman bagi semesta alam.
109,"Kepunyaan Allah-lah apa yang ada di langit dan apa yang ada di bumi, dan kepada Allah-lah dikembalikan segala urusan."
110," Kalian adalah umat terbaik yang dilahirkan untuk manusia. Kalian menyuruh kepada yang ma'ruf dan mencegah dari yang munkar, dan beriman kepada Allah. Seandainya Ahli Kitab beriman, tentulah itu lebih baik bagi mereka. Di antara mereka ada yang beriman, tetapi kebanyakan mereka fasik."
111," Mereka tidak akan menyakitimu kecuali dengan sedikit gangguan. Dan jika mereka memerangimu, niscaya mereka akan membelakangimu; kemudian mereka tidak akan ditolong."
112,"Mereka dihina di mana saja mereka berada, kecuali karena perjanjian dari Allah dan perjanjian dari manusia. Dan mereka dimurkai Allah, dan ditimpakan kemiskinan kepada mereka. Yang demikian itu disebabkan mereka mengingkari ayat-ayat Allah dan membunuh para nabi tanpa alasan yang benar. Yang demikian itu karena mereka durhaka dan mengingkari nikmat. Mereka melampaui batas."
113," ۞ Tidaklah semuanya sama. Di antara Ahli Kitab ada suatu kaum yang berdiri, membaca ayat-ayat Allah di waktu malam, dan bersujud."
114,"Mereka beriman kepada Allah dan Hari Akhir, menyuruh kepada yang ma'ruf dan mencegah dari yang munkar, dan bersegera kepada kebaikan. Dan mereka termasuk orang-orang yang saleh."
115," Dan kebaikan apa pun yang mereka kerjakan, mereka tidak akan ditolak. Dan Allah Maha Mengetahui tentang orang-orang yang bertakwa."
116," Sesungguhnya orang-orang kafir, harta benda dan anak-anak mereka tidak akan dapat menolong mereka sedikit pun dari sisi Allah. Dan mereka itu penghuni neraka, mereka kekal di dalamnya."
117,"Perumpamaan harta yang mereka nafkahkan di dunia ini bagaikan angin yang di dalamnya terdapat embun beku yang menusuk tanaman suatu kaum yang telah menganiaya diri mereka sendiri, maka tanaman itu pun hancur. Padahal, bukanlah Allah yang menganiaya mereka, tetapi merekalah yang menganiaya diri mereka sendiri."
118," Wahai orang-orang yang beriman, janganlah kamu mengambil orang-orang selain dirimu sebagai teman dekat. Mereka tidak akan membiarkan kamu binasa. Mereka menginginkan apa yang kamu derita. Telah nyata dari mulut mereka kebencian, dan apa yang disembunyikan hati mereka lebih besar. Sesungguhnya Kami telah menjelaskan ayat-ayat itu kepadamu, jika kamu mau berpikir."
119,"Inilah kamu! Kamu mencintai mereka, tetapi mereka tidak mencintaimu, dan kamu beriman kepada Kitab Suci, semuanya. Dan ketika mereka bertemu denganmu, mereka berkata, ""Kami beriman,"" tetapi ketika mereka sendirian, mereka menggigit ujung jari mereka kepadamu karena marah. Katakanlah, ""Matilah kamu dalam amarahmu."" Sesungguhnya Allah Maha Mengetahui apa yang ada dalam dada."
120," Jika kebaikan menimpa kamu, mereka bersedih karenanya, tetapi jika keburukan menimpa kamu, mereka bergembira karenanya. Tetapi jika kamu bersabar dan bertakwa kepada Allah, niscaya tipu daya mereka tidak akan merugikan kamu sedikit pun. Sesungguhnya Allah Maha Mengetahui segala perbuatan mereka."
121,Dan ketika kamu keluar dari keluargamu untuk menempatkan orang-orang mukmin di tempat-tempat pertempuran. Dan Allah Maha Mendengar lagi Maha Mengetahui.
122," Ketika dua golongan di antara kamu hampir putus asa, padahal Allah adalah pelindung mereka. Dan hendaklah orang-orang yang beriman bersandar kepada Allah."
123," Dan Allah telah memenangkan kalian di Badar, padahal kalian masih lemah. Maka bertakwalah kepada Allah agar kalian bersyukur."
124," Dan ketika kamu berkata kepada orang-orang mukmin: ""Apakah tidak cukup bagimu bahwa Tuhanmu menolong kamu dengan tiga ribu malaikat yang diturunkan-Nya?"""
125,"Ya, jika kamu bersabar dan bertakwa kepada Allah, lalu mereka mendatangimu dengan segera, niscaya Tuhanmu akan membantu kamu dengan lima ribu malaikat yang memiliki tanda-tanda."
126," Dan Allah tidak menjadikannya melainkan sebagai kabar gembira bagimu dan agar hatimu menjadi tenteram karenanya. Dan kemenangan itu tidak lain hanyalah dari Allah, Yang Maha Perkasa lagi Maha Bijaksana."
127," Untuk melenyapkan sebagian orang-orang kafir atau menundukkan mereka, sehingga mereka kembali dalam kekalahan."
128," Kamu tidak memiliki kendali atas masalah ini, apakah Dia mengampuni mereka atau menghukum mereka. Sesungguhnya mereka adalah orang-orang yang zalim."
