nomor_ayat,google_translate
18," Apakah yang mereka tunggu-tunggu selain Hari Kiamat, yaitu kedatangannya yang tiba-tiba? Padahal tanda-tandanya telah datang. Maka bagaimanakah mereka akan mendapat manfaat ketika datang peringatan kepada mereka?"
19,"Maka ketahuilah bahwa tiada Tuhan selain Allah, dan mohonlah ampunan atas dosamu dan dosa orang-orang mukmin laki-laki dan perempuan. Dan Allah mengetahui gerakmu dan tempatmu beristirahat."
20," Dan orang-orang yang beriman berkata, ""Mengapa tidak diturunkan suatu surah?"" Padahal, jika diturunkan suatu surah yang nyata dan di dalamnya disebutkan tentang perang, kamu akan melihat orang-orang yang di dalam hatinya ada penyakit, memandangmu seperti orang yang pingsan karena kematian. Maka, lebih pantas bagi mereka untuk murka."
21," Ketaatan dan tutur kata yang baik. Kemudian jika urusan telah diputuskan, jika mereka benar kepada Allah, itu lebih baik bagi mereka."
22,"Maka apakah jika kamu berkuasa, kamu akan membuat kerusakan di muka bumi dan memutuskan hubungan kekerabatan?"
23," Mereka itulah orang-orang yang dilaknat Allah, lalu Allah jadikan mereka tuli dan buta penglihatannya."
24, Maka apakah mereka tidak memperhatikan Al-Quran dengan seksama ataukah hati mereka terkunci?
25," Sesungguhnya orang-orang yang kembali kepada jalan yang benar setelah jelas bagi mereka petunjuk, setan telah menggoda mereka dan memberi mereka harapan yang panjang."
26,"Yang demikian itu adalah karena sesungguhnya mereka berkata kepada orang-orang yang membenci apa yang diturunkan Allah: ""Kami akan menaati kamu dalam sebagian urusan."" Dan Allah mengetahui rahasia-rahasia mereka."
27," Maka bagaimanakah jadinya apabila malaikat mencabut ruh mereka, lalu memukul muka dan punggung mereka?"
28," Yang demikian itu adalah karena mereka mengikuti apa yang membuat Allah murka dan membenci keridhaan-Nya, maka Allah menghapuskan amal-amal mereka."
29, Atau apakah orang-orang yang ada penyakit dalam hatinya mengira bahwa Allah tidak akan memperlihatkan kebencian mereka?
30,"Dan jika Kami menghendaki, niscaya Kami tunjukkan mereka kepadamu, maka kamu akan mengenali mereka dari ciri-cirinya, dan kamu pasti akan mengenali mereka dari nada bicaranya. Dan Allah mengetahui perbuatanmu."
31," Dan sungguh-sungguh akan Kami uji kamu agar Kami jelaskan orang-orang yang berjihad di antara kamu dan orang-orang yang sabar, dan agar Kami jelaskan berita-berita kamu."
32," Sesungguhnya orang-orang yang kafir dan menghalangi (manusia) dari jalan Allah dan menentang Rasul setelah jelas petunjuk bagi mereka, mereka tidak dapat mendatangkan mudharat kepada Allah sedikit pun, dan Allah menghapuskan amal-amal mereka."
33,"Hai orang-orang yang beriman, taatilah Allah dan taatilah Rasul, dan janganlah kamu membatalkan amal-amalmu."
34," Sesungguhnya orang-orang yang kafir dan menghalangi (manusia) dari jalan Allah, kemudian mereka mati dalam keadaan kafir, maka Allah tidak akan mengampuni mereka selama-lamanya."
35," Maka janganlah kamu bersikap lemah dan menyerukan perdamaian, padahal kamu adalah orang-orang yang unggul. Sesungguhnya Allah beserta kamu dan Dia sekali-kali tidak akan menyia-nyiakan amalmu."
36," Kehidupan dunia ini hanyalah permainan dan senda gurau. Tetapi jika kamu beriman dan bertakwa kepada Allah, niscaya Dia akan memberimu pahala dan tidak akan meminta hartamu."
37,"Jika mereka meminta kepadamu, lalu kamu menolaknya, maka kamu akan menjadi orang yang kikir, dan Dia akan mendatangkan dendammu."
38," Kalian di sini, kalian dipanggil untuk menafkahkan harta di jalan Allah. Namun di antara kalian ada orang yang kikir, dan barangsiapa yang kikir, sesungguhnya ia kikir terhadap dirinya sendiri. Allah Maha Kaya, sedangkan kalian adalah orang-orang miskin. Dan jika kalian berpaling, Dia akan mengganti kalian dengan kaum yang lain; maka mereka tidak akan seperti kalian."
