nomor_ayat,google_translate
31,"Dan katakanlah kepada wanita-wanita yang beriman, agar mereka membatasi pandangan mereka dan menjaga kemaluan mereka, dan janganlah mereka memperlihatkan perhiasan mereka kecuali yang tampak, dan hendaklah mereka menutupkan jilbab mereka ke dada mereka, dan janganlah mereka memperlihatkan perhiasan mereka kecuali kepada suami-suami mereka, ayah-ayah mereka, ayah-ayah suami mereka, anak-anak mereka, anak-anak suami mereka, saudara-saudara laki-laki mereka, atau saudara-saudara perempuan mereka, anak-anak saudara laki-laki mereka, atau anak-anak saudara perempuan mereka, atau istri-istri mereka, atau budak-budak yang mereka miliki, atau pelayan-pelayan laki-laki yang tidak cukup umur, atau anak-anak yang belum mengetahui aurat wanita. Dan hendaklah mereka tidak menghentakkan kaki mereka untuk memperlihatkan perhiasan mereka yang mereka sembunyikan. Dan bertobatlah kepada Allah. Hai orang-orang yang beriman, supaya kamu beruntung."
32,"Dan nikahkanlah orang-orang yang belum menikah di antara kamu dan orang-orang yang saleh dari hamba sahayamu, baik laki-laki maupun perempuan. Jika mereka miskin, Allah akan memampukan mereka dengan karunia-Nya. Dan Allah Maha Luas (karunia-Nya) lagi Maha Mengetahui."
33,"Dan hendaklah orang-orang yang tidak mampu menikah menjaga kehormatan mereka hingga Allah memakmurkan mereka dengan karunia-Nya. Dan barangsiapa yang mencari akad dari budak-budakmu, buatlah akad dengan mereka jika kamu mengetahui bahwa mereka memiliki kebaikan, dan berikanlah mereka sebagian dari harta Allah yang telah Dia berikan kepadamu. Dan janganlah kamu memaksa perempuan-perempuanmu untuk berzina, jika mereka menginginkan kesucian. Tujuannya agar kamu mencari keuntungan dunia. Dan barangsiapa yang memaksa mereka, maka sesungguhnya Allah Maha Pengampun lagi Maha Penyayang setelah mereka dipaksa."
34,"Dan sungguh, Kami telah turunkan kepadamu ayat-ayat yang menjelaskan kepadamu, dan contoh dari orang-orang terdahulu sebelum kamu, dan pelajaran bagi orang-orang yang bertakwa."
35,"Allah adalah Cahaya langit dan bumi. Perumpamaan cahaya-Nya seperti ceruk yang di dalamnya terdapat pelita, pelita itu berada di dalam kaca, kaca itu bagaikan bintang mutiara yang dinyalakan dari pohon zaitun yang diberkahi, yang tidak tumbuh di timur dan tidak pula di barat, yang minyaknya hampir-hampir menyala meskipun tidak tersentuh api. Cahaya di atas cahaya, yang memberi petunjuk kepada manusia dengan ilmu pengetahuan. Allah memberikan cahaya-Nya kepada siapa yang Dia kehendaki. Dan Allah membuat perumpamaan-perumpamaan bagi manusia, dan Allah Maha Mengetahui segala sesuatu."
36,Di rumah-rumah yang telah Allah izinkan untuk ditinggikan dan disebut nama-Nya di dalamnya. Di sanalah Dia Maha Suci di pagi dan petang hari.
37," Orang-orang yang perdagangan dan jual belinya tidak dapat mengalihkan mereka dari mengingat Allah, mendirikan salat, dan menunaikan zakat. Mereka takut akan hari yang di dalamnya hati dan penglihatan akan berpaling."
38, Semoga Allah membalas mereka dengan pahala yang lebih baik dari apa yang telah mereka kerjakan dan menambah karunia-Nya kepada mereka. Dan Allah memberi rezeki kepada siapa yang Dia kehendaki tanpa batas.
39,"Dan orang-orang kafir, amal mereka bagaikan fatamorgana di tanah yang kering, yang disangka air oleh orang yang haus, hingga ketika ia sampai di sana, ternyata tidak ada apa-apanya; tetapi ia mendapati Allah bersamanya dan memberi perhitungan kepadanya. Dan Allah sangat cepat perhitungannya."
40," Atau seperti kegelapan di tengah laut yang dalam, yang diliputi ombak yang di atasnya ombak terdapat awan—gelap gulita, sebagian di atas sebagian yang lain. Ketika ia mengulurkan tangannya, ia hampir tidak dapat melihatnya. Dan barangsiapa yang tidak Allah berikan cahaya baginya, maka baginya tidak ada cahaya."
41,"Tidakkah kamu perhatikan bahwa bagi Allah bertasbihlah siapa pun yang ada di langit dan di bumi, dan burung-burung yang mengembangkan sayapnya? Masing-masing telah mengetahui shalatnya dan bertasbihnya. Dan Allah Maha Mengetahui apa yang mereka kerjakan."
42, Kepunyaan Allah-lah kerajaan langit dan bumi dan kepada Allah-lah tempat kembali.
43,"Tidakkah kamu perhatikan bahwa Allah menggerakkan awan-awan, lalu menyatukannya, lalu menjadikannya suatu massa, dan kamu lihat hujan muncul dari dalamnya? Dan Dia menurunkan hujan dari langit, dari gunung-gunung yang di dalamnya ada hujan es, lalu Dia memukulnya dengan hujan itu siapa yang Dia kehendaki dan menangkalnya dari siapa yang Dia kehendaki. Kilatan kilat-Nya hampir-hampir mengaburkan pandangan."
44, Allah mengganti malam dan siang. Sesungguhnya pada yang demikian itu terdapat pelajaran bagi orang-orang yang melihat.
45,"Dan Allah menciptakan segala sesuatu dari air. Di antara mereka ada yang merayap dengan perutnya, di antara mereka ada yang berjalan dengan dua kaki, dan di antara mereka ada yang berjalan dengan empat kaki. Allah menciptakan apa yang Dia kehendaki. Sesungguhnya Allah Maha Kuasa atas segala sesuatu."
46," Sesungguhnya Kami telah menurunkan ayat-ayat yang menjelaskan segala sesuatu, dan Allah memberi petunjuk kepada siapa yang Dia kehendaki ke jalan yang lurus."
47," Dan mereka berkata, ""Kami telah beriman kepada Allah dan Rasul, dan kami telah taat."" Kemudian sebagian dari mereka berpaling setelah itu. Dan mereka bukanlah orang-orang yang beriman."
48,"Dan ketika mereka dipanggil kepada Allah dan Rasul-Nya untuk mengadili di antara mereka, tiba-tiba sebagian dari mereka berpaling."
49," Dan jika kebenaran itu milik mereka, mereka akan menerimanya dengan berserah diri."
50," Apakah ada penyakit dalam hati mereka, atau apakah mereka ragu, ataukah mereka takut bahwa Allah dan Rasul-Nya akan menganiaya mereka? Sebenarnya mereka itulah orang-orang yang zalim."
51," Sesungguhnya ucapan orang-orang mukmin ketika mereka dipanggil kepada Allah dan Rasul-Nya untuk mengadili mereka hanyalah ucapan mereka: ""Kami dengar dan kami taat."" Dan mereka itulah orang-orang yang beruntung."
52,"Dan barangsiapa yang taat kepada Allah dan Rasul-Nya dan bertakwa kepada Allah serta bertakwa kepada-Nya, maka mereka itulah orang-orang yang beruntung."
53," Dan mereka bersumpah dengan nama Allah dengan sumpah mereka yang paling khusyuk, bahwa jika kamu perintahkan mereka, niscaya mereka akan berangkat. Katakanlah, ""Janganlah kamu bersumpah. Ketaatan itu wajib. Sesungguhnya Allah Maha Mengetahui apa yang kamu kerjakan."""
54," Katakanlah, ""Taatilah Allah dan taatilah Rasul. Jika kamu berpaling, maka sesungguhnya atas dirinya apa yang telah dibebankan kepadanya, dan atas kamu apa yang telah dibebankan kepadamu. Dan jika kamu menaatinya, niscaya kamu akan mendapat petunjuk. Dan atas Rasul itu hanyalah pemberitaan yang nyata."""
55,"Allah telah berjanji kepada orang-orang yang beriman di antara kamu dan mengerjakan amal saleh, bahwa Dia sungguh-sungguh akan menjadikan mereka khalifah di bumi, sebagaimana Dia telah menjadikan orang-orang sebelum mereka khalifah, dan bahwa Dia sungguh-sungguh akan meneguhkan bagi mereka agama mereka yang telah Dia ridhoi bagi mereka, dan bahwa Dia sungguh-sungguh akan mengganti bagi mereka setelah mereka merasa aman tenteram. Mereka akan menyembah-Ku, dan tidak mempersekutukan-Ku dengan sesuatu pun. Dan barangsiapa yang kafir sesudah itu, niscaya Dia akan menjadikan mereka menang di bumi, sebagaimana Dia telah menjadikan orang-orang sebelum mereka menang. Dan Dia sungguh-sungguh akan meneguhkan bagi mereka agama mereka yang telah Dia ridhoi bagi mereka, dan Dia sungguh-sungguh akan mengganti bagi mereka setelah mereka merasa aman tenteram. Mereka itulah orang-orang yang fasik."
56," Dan dirikanlah shalat, bayarkan zakat, dan taatilah Rasul, supaya kamu mendapat rahmat."
57,"Janganlah kamu mengira bahwa orang-orang kafir dapat lolos dari maut di bumi. Tempat mereka adalah neraka, dan seburuk-buruk tempat kembali."
58,"Hai orang-orang yang beriman, hendaklah budak-budakmu dan orang-orang yang belum baligh di antara kamu meminta izin kepadamu tiga kali: sebelum salat Subuh, ketika kamu menanggalkan pakaianmu di waktu zuhur, dan setelah salat Isya. Tiga aurat bagimu. Tidak ada dosa bagimu dan tidak pula bagi mereka. Tidak ada dosa bagi mereka sesudah itu. Mereka beredar di antara kamu, sebagian kamu di antara sebagian yang lain. Demikianlah Allah menjelaskan kepadamu tanda-tanda kekuasaan-Nya, dan Allah Maha Mengetahui lagi Maha Bijaksana."
59,"Dan apabila anak-anak di antara kalian telah dewasa, hendaklah mereka meminta izin sebagaimana orang-orang sebelum mereka meminta izin. Demikianlah Allah menjelaskan ayat-ayat-Nya kepadamu, dan Allah Maha Mengetahui lagi Maha Bijaksana."
60," Adapun wanita-wanita yang telah melahirkan dan tidak lagi mengharapkan pernikahan, maka tidak ada dosa bagi mereka jika mereka menanggalkan pakaian luar mereka dan tidak menampakkan perhiasan mereka. Tetapi menjaga kehormatan itu lebih baik bagi mereka. Dan Allah Maha Mendengar lagi Maha Mengetahui."
61,"Tidak ada dosa atas orang buta, orang lumpuh, orang sakit, dan juga atas dirimu sendiri, jika kamu makan di rumahmu sendiri, atau di rumah bapak-bapakmu, atau di rumah ibu-ibumu, atau di rumah saudara-saudaramu laki-laki, atau di rumah saudara-saudaramu perempuan, atau di rumah paman-pamanmu dari pihak ayah, atau di rumah bibi-bibimu dari pihak ayah, atau di rumah istri-istrimu... Rumah paman-pamanmu dari pihak ibu, atau di rumah bibi-bibimu dari pihak ibu, atau yang kamu miliki kuncinya, atau di rumah temanmu. Tidak ada dosa atasmu jika kamu makan bersama-sama atau sendiri-sendiri. Tetapi jika kamu memasuki sebuah rumah, maka hendaklah kamu saling memberi salam dengan ucapan dari Allah yang penuh berkah dan baik. Demikianlah Allah menjelaskan kepadamu tanda-tanda kekuasaan-Nya, agar kamu memahaminya. Kamu memahaminya."
62,"Sesungguhnya orang-orang yang beriman itu hanyalah mereka yang beriman kepada Allah dan Rasul-Nya, dan jika mereka bersama-sama dengan-Nya dalam suatu urusan, mereka tidak akan berpisah sebelum meminta izin kepada-Nya. Sesungguhnya, orang-orang yang meminta izin kepadamu adalah orang-orang yang beriman kepada Allah dan Rasul-Nya. Maka, jika mereka meminta izin kepadamu untuk sebagian urusan mereka, berikanlah izin kepada siapa pun yang mereka kehendaki. Lakukanlah apa pun yang kamu kehendaki dari mereka, dan mohonkanlah ampunan bagi mereka dari Allah. Sesungguhnya, Allah Maha Pengampun lagi Maha Penyayang."
63,"Janganlah kamu jadikan seruan Rasul di antara kamu seperti seruan sebagian kamu kepada sebagian yang lain. Allah mengetahui orang-orang yang menyendiri di antara kamu. Maka hendaklah orang-orang yang menentang perintah Rasul itu berhati-hati, agar mereka tidak ditimpa cobaan atau ditimpa azab yang pedih."
64," Sesungguhnya kepunyaan Allah-lah apa yang ada di langit dan di bumi. Dia mengetahui apa yang kamu kerjakan, dan pada hari mereka dikembalikan kepada-Nya, Dia akan memberitakan kepada mereka apa yang telah mereka kerjakan. Dan Allah Maha Mengetahui segala sesuatu."
